Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Hand holding receipts.;0.0;0.0;0.0;0.82291615;0.81927931;0.82109368;0.23956916;0.78415537
0002.jpg;Vyras neša vėliavą;Man holding flag.;0.0;0.0;0.0;0.8443557;0.81152439;0.82761455;0.23744231;0.91054821
0003.jpg;Du kareiviai stovintys su vėliava;Soldiers with flag and tank.;0.0;0.0;0.0;0.84768665;0.8478415;0.84776407;0.26173946;0.79947871
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Protesters with signs.;0.0;0.0;0.0;0.86059999;0.84025824;0.85030746;0.33980972;0.92081273
0005.jpg;Ant stalo padėtos kodekso knygos;Red tie on desk.;0.0;0.0;0.0;0.83856875;0.81357241;0.82588148;0.18858168;0.47694853
0006.jpg;Ranka virš čekių;Hand holding receipts.;0.0;0.0;0.0;0.82912028;0.83472574;0.83191353;0.16269842;0.74320823
0007.jpg;Vyras tikrinasi regėjimą;Man with white blindfold.;0.0;0.0;0.0;0.83307135;0.82459462;0.82881129;-0.0368792;0.48638806
0008.jpg;Daugiabučio namo renovacija;Construction scaffolding on building.;0.0;0.0;0.0;0.84304547;0.81868148;0.8306849;0.11899446;0.49534395
0009.jpg;Lietuvos pašto dėžutė ant sienos;Yellow mailbox on pole.;0.0;0.0;0.0;0.831393;0.8280248;0.82970548;0.02685285;0.59466642
0010.jpg;Krovininis laivas plaukiantis į uostą;Cargo ship on water.;0.0;0.0;0.0;0.84287316;0.81372774;0.82804406;0.24912652;0.85739607
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;Pervaža stebima vajzdo kamermonis;0.0;0.10204082;0.16666667;0.83540815;0.82977033;0.83257967;0.42740864;0.5566684
0012.jpg;Prekių vežimėlis prekybos centre;Shopping cart in aisle.;0.0;0.0;0.0;0.84518641;0.8394959;0.84233153;0.13156994;0.7728548
0013.jpg;Tiltu einantys žmonės ir esantys šalia jo;People walking on bridge.;0.0;0.0;0.0;0.86766195;0.86095715;0.86429656;0.30567187;0.87639129
0014.jpg;Vėjo jėgainės jūroje;Windmills on horizon.;0.0;0.0;0.0;0.82997751;0.84180009;0.83584702;0.16472159;0.68398982
0015.jpg;Pinigų banknotai;Money;0.0;0.0;0.0;0.8126024;0.78936779;0.8008166;0.37116259;0.80900621
0016.jpg;Indai pilni persikų;Hand holding a peach.;0.0;0.0;0.0;0.80972183;0.78129804;0.79525608;0.27678755;0.66195178
0017.jpg;Traktorius dirba laukuose;Farm tractors in field.;0.0;0.0;0.0;0.8556155;0.85924971;0.85742873;0.35541898;0.79479283
0018.jpg;Kombainas dirba laukuose;Farm tractor plowing field.;0.0;0.0;0.0;0.82828516;0.84292018;0.83553863;0.02618455;0.66561836
0019.jpg;Žmogus rankose nešantis įvairių daržovių krepšį;Person holding a basket of fresh vegetables.;0.0;0.0;0.0;0.90527284;0.88679188;0.89593709;0.15996552;0.88889706
0020.jpg;Virtuvė prieš ir po remonto;Kitchen before and after renovation.;0.0;0.0;0.0;0.88314509;0.89339614;0.88824105;0.49365193;0.96533078
0021.jpg;Kondensatas susidaręs prie lango;Window with condensation.;0.0;0.0;0.0;0.83452296;0.83634585;0.83543336;0.23298444;0.78259605
