Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Hand holding multiple receipts with various details and dates.;0.0;0.0;0.0;0.82954228;0.82364476;0.82658303;0.14072573;0.74563372
0002.jpg;Vyras neša vėliavą;Protesters hold Palestinian flag in urban setting.;0.0;0.0;0.0;0.84349751;0.85717988;0.85028362;0.04722096;0.58572626
0003.jpg;Du kareiviai stovintys su vėliava;Soldiers with flag and military vehicles in field.;0.0;0.0;0.0;0.84545672;0.84589148;0.8456741;0.30494577;0.7719422
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Protesters hold signs with messages in Lithuanian and English.;0.0;0.0;0.0;0.82838863;0.84513563;0.83667833;0.32154432;0.81528246
0005.jpg;Ant stalo padėtos kodekso knygos;"Books titled ""Kodeksas"" with a red tie and emblem.";0.0;0.0;0.0;0.82989287;0.83503604;0.83245653;0.39583343;0.5074358
0006.jpg;Ranka virš čekių;Person sorting through a stack of receipts on a table.;0.0;0.0;0.0;0.83200878;0.83179915;0.83190393;0.2057132;0.46497288
0007.jpg;Vyras tikrinasi regėjimą;Man holding a white spoon over his eye.;0.0;0.0;0.0;0.8250488;0.8354373;0.83021051;-0.00188059;0.60318696
0008.jpg;Daugiabučio namo renovacija;Construction worker on scaffolding with banners in a building.;0.0;0.0;0.0;0.8346737;0.80214804;0.8180877;0.09208407;0.30120835
0009.jpg;Lietuvos pašto dėžutė ant sienos;"Yellow mailbox with ""Lietuvos Paštas"" logo on a street.";0.0;0.0;0.23529412;0.85003537;0.87801605;0.86379915;0.34749508;0.70790237
0010.jpg;Krovininis laivas plaukiantis į uostą;Cargo ship MSC Amsterdam sails through a harbor.;0.0;0.0;0.0;0.85509473;0.85391533;0.85450459;0.17082258;0.74304122
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;Traffic sign warning of speed cameras in Lithuania.;0.0;0.0;0.0;0.82952178;0.82781184;0.82866591;0.1258989;0.48583311
0012.jpg;Prekių vežimėlis prekybos centre;Person pushing a shopping cart in a grocery store aisle.;0.0;0.0;0.0;0.8427676;0.84585267;0.8443073;0.10377987;0.5870977
