Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Sąskaitos, išlaidos, finansai, pinigai, biudžetas, atsiskaitymas, pirkimai, prekyba, mokėjimas, ekonomika.;0.0;0.0;0.0;0.80878139;0.80199718;0.80537498;0.07584842;0.44812953
0002.jpg;Vyras neša vėliavą;Palestinos vėliava sklando protesto metu.;0.0;0.0;0.18181818;0.87515062;0.91424417;0.8942703;0.22246525;0.64773518
0003.jpg;Du kareiviai stovintys su vėliava;JAV kariuomenės vėliavas neša kareiviai prie tankų.;0.0;0.19230769;0.25;0.8831296;0.88144159;0.88228482;0.55319482;0.76162428
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Protestas prieš kultūros ministro sprendimus Lietuvoje.;0.0;0.0;0.0;0.86123073;0.847458;0.85428882;0.14738417;0.53926843
0005.jpg;Ant stalo padėtos kodekso knygos;Lietuvos Respublikos Konstitucija ir teisininkų profesinis drabužis.;0.0;0.0;0.0;0.87012672;0.84489912;0.85732734;0.00193625;0.21645711
0006.jpg;Ranka virš čekių;Sąskaitos kaupiasi, atspindint finansinį nerimą ir išlaidas.;0.0;0.0;0.0;0.85187376;0.86037987;0.85610569;0.03024079;0.34390002
0007.jpg;Vyras tikrinasi regėjimą;Akių tyrimas, vyras su uždengta akimi, oftalmologas.;0.0;0.14705882;0.16666667;0.86124992;0.86377978;0.86251301;0.21515036;0.7856918
0008.jpg;Daugiabučio namo renovacija;Pastatas atnaujinamas, apgaubtas pastoliais ir apsauginiu audiniu.;0.0;0.0;0.0;0.88469231;0.83940011;0.86145127;0.1646115;0.72981089
0009.jpg;Lietuvos pašto dėžutė ant sienos;Lietuvos paštas dėžutė, geltona, šiuolaikiška, vieša, pašto paslauga.;0.0;0.18867925;0.4;0.87770098;0.9148649;0.89589769;0.45291519;0.73174393
0010.jpg;Krovininis laivas plaukiantis į uostą;MSC Amsterdam plaukia į uostą, pilnas konteinerių.;0.0;0.09615385;0.2;0.88785005;0.88298273;0.88540965;0.30020067;0.67926157
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;Pervaža stebima vaizdo kameromis.;0.0;0.20408163;0.33333333;0.90399009;0.89201307;0.89796168;0.46057016;0.78367484
0012.jpg;Prekių vežimėlis prekybos centre;Prekybos vežimėlis parduotuvėje, pirkėjas ruošiasi apsipirkti.;0.0;0.23809524;0.35294118;0.87906915;0.91225868;0.89535648;0.47797316;0.80466014
