Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Receipts in hand, documenting spending and purchases.;0.0;0.0;0.0;0.83096611;0.82257926;0.82675147;0.16168025;0.74870259
0002.jpg;Vyras neša vėliavą;Palestine flag waved during a demonstration.;0.0;0.0;0.18181818;0.83506346;0.85118538;0.84304738;0.1440191;0.62700725
0003.jpg;Du kareiviai stovintys su vėliava;Lithuanian soldiers with flag during military exercise.;0.0;0.0;0.0;0.83812433;0.84444433;0.84127247;0.34742373;0.75363427
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Protesters hold signs during a demonstration.;0.0;0.0;0.0;0.84886265;0.83957678;0.84419417;0.39074102;0.92170119
0005.jpg;Ant stalo padėtos kodekso knygos;Lithuanian laws and a red sash.;0.0;0.0;0.0;0.82817793;0.82156098;0.82485616;0.10564983;0.23740649
0006.jpg;Ranka virš čekių;Pile of receipts held in two hands.;0.0;0.0;0.0;0.8418802;0.83008182;0.83593941;0.20773602;0.69343925
0007.jpg;Vyras tikrinasi regėjimą;Eye test with an octagonal target.;0.0;0.0;0.0;0.83244747;0.84174186;0.83706886;0.0329687;0.69500792
0008.jpg;Daugiabučio namo renovacija;Caparol, Nadų, Šinimo, Temos, Sistemas.;0.0;0.0;0.0;0.83324242;0.8222881;0.82772905;0.04155329;0.30020919
0009.jpg;Lietuvos pašto dėžutė ant sienos;Lithuanian postbox.;0.0;0.0;0.0;0.84326333;0.8449111;0.84408641;0.40115079;0.82992768
0010.jpg;Krovininis laivas plaukiantis į uostą;Container ship MSC Amsterdam navigating a channel.;0.0;0.0;0.0;0.84671199;0.83478588;0.84070671;0.16399775;0.72735792
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;Railway crossing with camera surveillance ahead.;0.0;0.0;0.0;0.85100895;0.83765978;0.84428161;0.10975578;0.50163805
0012.jpg;Prekių vežimėlis prekybos centre;Shopping in a supermarket aisle with a cart.;0.0;0.0;0.0;0.84471691;0.83958882;0.84214509;0.15769523;0.69237924
0013.jpg;Tiltu einantys žmonės ir esantys šalia jo;People enjoying a sunny day by the water.;0.0;0.0;0.0;0.84996921;0.84494156;0.84744787;0.41066283;0.47411188
0014.jpg;Vėjo jėgainės jūroje;Wind turbines and coastal grasses under a blue sky.;0.0;0.0;0.0;0.83940917;0.85485244;0.84706044;0.20274152;0.78334808
0015.jpg;Pinigų banknotai;Euro banknotes: 10 and 20 euro denominations.;0.0;0.0;0.0;0.83124745;0.85682207;0.84384102;0.22788736;0.66146398
