Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Uždarymas, trumpai.;0.0;0.0;0.0;0.86547434;0.82461858;0.84455264;0.00574881;0.38643607
0002.jpg;Vyras neša vėliavą;Vyras traukia belorusišką vėliavą. Klaipėda, protestas.;0.0;0.15151515;0.42857143;0.87840968;0.93614584;0.9063592;0.44901794;0.76370043
0003.jpg;Du kareiviai stovintys su vėliava;Žiemos karinė parade. Kariškiai, uniformos, maišai. Vėliavos simbolis - žalias skersas. Ginklus, šalmas.背景 - dirbtinis;0.0;0.0;0.09090909;0.83210611;0.85768211;0.84470057;0.26446593;0.68082285
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Protestuotojai su protestiniu žygiu, žaisti. Plakatai. Dvilabikės. miestas. Sunaikina įvaizdį.;0.0;0.0;0.0;0.84684002;0.87935984;0.86279362;0.33691931;0.85299575
0005.jpg;Ant stalo padėtos kodekso knygos;Švietimas, įstatymai, įvykiai.;0.0;0.0;0.0;0.88216603;0.84628886;0.86385518;-0.03461394;0.32699898
0006.jpg;Ranka virš čekių;Žmogaus ranka laikanti sklendančius faktūras.;0.0;0.15625;0.2;0.84035265;0.85437375;0.84730518;0.3008472;0.70389885
0007.jpg;Vyras tikrinasi regėjimą;Mėgsta žaisti su skuba.;0.0;0.0;0.0;0.86056614;0.84867275;0.85457808;-0.02981916;0.12380538
0008.jpg;Daugiabučio namo renovacija;Šiluminio pastato remontas. Vidaus renovacija. Statybininkai. Dailūs medžiagų spalvos. Šilumos laidai. Metalo konstrukcija.;0.0;0.0;0.10526316;0.82959408;0.868339;0.84852445;0.25094512;0.63747954
0009.jpg;Lietuvos pašto dėžutė ant sienos;Žaliai lankstus pašto boksas ant geltonos sienos.;0.0;0.19230769;0.53333333;0.87449527;0.90698063;0.89044172;0.44442624;0.7364887
0010.jpg;Krovininis laivas plaukiantis į uostą;Grobinis laivas kelias į uostą.;0.0;0.2;0.5;0.91963637;0.89860713;0.90900016;0.49430239;0.92333329
