Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;a woman holds a stack of receipts in her hand;0.0;0.0;0.0;0.82504678;0.81960112;0.82231498;0.16974214;0.63446319
0002.jpg;Vyras neša vėliavą;a man holds a flag of the palestinians in a protest march in ;0.0;0.0;0.11111111;0.82936239;0.85992533;0.84436738;0.11867615;0.70516622
0003.jpg;Du kareiviai stovintys su vėliava;a soldier holds a flag in front of a military vehicle;0.0;0.0;0.0;0.8542285;0.85177892;0.85300189;0.29618886;0.74690342
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;a group of people holding signs and banners protesting against the euthanasia;0.0;0.0;0.0;0.84019595;0.85897505;0.8494817;0.43556374;0.79279411
0005.jpg;Ant stalo padėtos kodekso knygos;a stack of books on a table;0.0;0.0;0.0;0.86050701;0.84271711;0.85151917;0.30375195;0.73829693
0006.jpg;Ranka virš čekių;a hand reaches into a pile of paper;0.0;0.0;0.0;0.83258736;0.83324122;0.83291411;0.23801513;0.603172
0007.jpg;Vyras tikrinasi regėjimą;a man is putting a white eyelid on a white eyelid;0.0;0.0;0.0;0.8231945;0.83720624;0.83014125;-0.01444216;0.65559494
0008.jpg;Daugiabučio namo renovacija;a building with scaffolding and scaffolding;0.0;0.0;0.0;0.80710167;0.81712687;0.81208336;0.11492754;0.49824762
0009.jpg;Lietuvos pašto dėžutė ant sienos;a yellow mailbox with a woman standing in front of it;0.0;0.0;0.0;0.84303796;0.84291011;0.84297401;0.01449354;0.51529855
0010.jpg;Krovininis laivas plaukiantis į uostą;a container ship is a container ship that is a container ship that is a container;0.0;0.0;0.0;0.81726742;0.80438077;0.81077284;0.18329339;0.44899747
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;a car driving on a road with a traffic light and a sign saying ;0.0;0.0;0.0;0.8127532;0.81568968;0.81421876;0.00371142;0.24797817
0012.jpg;Prekių vežimėlis prekybos centre;a man is pushing a shopping cart in a supermarket;0.0;0.0;0.0;0.85286319;0.84459645;0.84870964;0.1163988;0.5181883
0013.jpg;Tiltu einantys žmonės ir esantys šalia jo;a bridge over a river in poland - a bridge over a river;0.0;0.0;0.0;0.82342982;0.82519883;0.82431334;0.06395899;0.69804305
0014.jpg;Vėjo jėgainės jūroje;a wind turbine is a wind turbine that converts wind energy into electricity;0.0;0.0;0.0;0.81235433;0.8437264;0.82774317;0.18072706;0.59050018
